Date,medtecs,sti,topglove
2017-02-28,0.05,3.16,0.8225
2017-03-01,0.051,3.19,0.8225
2017-03-02,0.05,3.19,0.825
2017-03-03,0.05,3.18,0.825
2017-03-06,0.05,3.18,0.825
2017-03-07,0.05,3.19,0.8225
2017-03-08,0.054,3.22,0.8225
2017-03-09,0.052,3.19,0.8225
2017-03-10,0.052,3.2,0.8225
2017-03-13,0.051,3.21,0.81
2017-03-14,0.051,3.22,0.8225
2017-03-15,0.051,3.2,0.815
2017-03-16,0.052,3.23,0.815
2017-03-17,0.05,3.24,0.81
2017-03-20,0.052,3.23,0.81
2017-03-21,0.052,3.23,0.78
2017-03-22,0.051,3.19,0.81
2017-03-23,0.05,3.19,0.8075
2017-03-24,0.051,3.22,0.8
2017-03-27,0.05,3.19,0.8125
2017-03-28,0.05,3.22,0.8125
2017-03-29,0.05,3.25,0.81
2017-03-30,0.053,3.24,0.79
2017-03-31,0.051,3.25,0.79
2017-04-03,0.052,3.25,0.79
2017-04-04,0.053,3.25,0.825
2017-04-05,0.053,3.25,0.825
2017-04-06,0.054,3.24,0.825
2017-04-07,0.053,3.22,0.815
2017-04-10,0.053,3.24,0.825
2017-04-11,0.051,3.24,0.825
2017-04-12,0.051,3.25,0.825
2017-04-13,0.05,3.23,0.825
2017-04-17,0.05,3.2,0.8225
2017-04-18,0.05,3.21,0.815
2017-04-19,0.049,3.19,0.79
2017-04-20,0.049,3.21,0.825
2017-04-21,0.052,3.22,0.825
2017-04-24,0.05,3.21,0.825
2017-04-25,0.051,3.23,0.815
2017-04-26,0.051,3.26,0.8
2017-04-27,0.051,3.26,0.8
2017-04-28,0.05,3.26,0.8
2017-05-02,0.05,3.29,0.8
2017-05-03,0.05,3.33,0.825
2017-05-04,0.05,3.32,0.825
2017-05-05,0.05,3.33,0.825
2017-05-08,0.05,3.33,0.825
2017-05-09,0.05,3.34,0.8225
2017-05-11,0.05,3.36,0.825
2017-05-12,0.049,3.35,0.825
2017-05-15,0.051,3.35,0.825
2017-05-16,0.05,3.32,0.825
2017-05-17,0.049,3.32,0.825
2017-05-18,0.049,3.32,0.8
2017-05-19,0.049,3.32,0.815
2017-05-22,0.049,3.32,0.82
2017-05-23,0.049,3.34,0.825
2017-05-24,0.049,3.33,0.825
2017-05-25,0.049,3.35,0.825
2017-05-26,0.049,3.32,0.81
2017-05-29,0.049,3.32,0.82
2017-05-30,0.049,3.31,0.825
2017-05-31,0.049,3.31,0.825
2017-06-01,0.049,3.33,0.825
2017-06-02,0.049,3.35,0.835
2017-06-05,0.05,3.34,0.83
2017-06-06,0.05,3.34,0.85
2017-06-07,0.05,3.34,0.855
2017-06-08,0.05,3.34,0.8625
2017-06-09,0.05,3.37,0.8725
2017-06-12,0.05,3.36,0.8725
2017-06-13,0.05,3.36,0.8725
2017-06-14,0.05,3.35,0.875
2017-06-15,0.05,3.34,0.885
2017-06-16,0.051,3.34,0.895
2017-06-19,0.049,3.36,0.875
2017-06-20,0.049,3.34,0.89
2017-06-21,0.049,3.32,0.895
2017-06-22,0.049,3.32,0.91
2017-06-23,0.049,3.32,0.915
2017-06-27,0.049,3.33,0.915
2017-06-28,0.05,3.33,0.92
2017-06-29,0.048,3.37,0.925
2017-06-30,0.048,3.34,0.86
2017-07-03,0.048,3.32,0.86
2017-07-04,0.049,3.3,0.8625
2017-07-05,0.049,3.34,0.865
2017-07-06,0.049,3.32,0.8675
2017-07-07,0.049,3.32,0.8875
2017-07-10,0.049,3.34,0.88
2017-07-11,0.048,3.31,0.89
2017-07-12,0.048,3.29,0.895
2017-07-13,0.047,3.32,0.8875
2017-07-14,0.048,3.38,0.895
2017-07-17,0.049,3.39,0.9
2017-07-18,0.049,3.39,0.91
2017-07-19,0.05,3.41,0.905
2017-07-20,0.05,3.38,0.905
2017-07-21,0.05,3.41,0.905
2017-07-24,0.051,3.41,0.9025
2017-07-25,0.05,3.42,0.905
2017-07-26,0.051,3.43,0.91
2017-07-27,0.052,3.45,0.91
2017-07-28,0.052,3.42,0.9025
2017-07-31,0.05,3.42,0.9
2017-08-01,0.05,3.44,0.9
2017-08-02,0.05,3.45,0.905
2017-08-03,0.05,3.46,0.9025
2017-08-04,0.051,3.45,0.905
2017-08-07,0.05,3.44,0.905
2017-08-08,0.05,3.44,0.905
2017-08-10,0.05,3.44,0.9
2017-08-11,0.05,3.4,0.89
2017-08-14,0.05,3.43,0.89
2017-08-15,0.049,3.42,0.89
2017-08-16,0.049,3.4,0.9
2017-08-17,0.049,3.4,0.9
2017-08-18,0.049,3.38,0.9
2017-08-21,0.049,3.37,0.9
2017-08-22,0.049,3.4,0.9
2017-08-23,0.049,3.4,0.9
2017-08-24,0.05,3.4,0.885
2017-08-25,0.05,3.4,0.9
2017-08-28,0.05,3.4,0.8775
2017-08-29,0.05,3.38,0.895
2017-08-30,0.049,3.39,0.895
2017-08-31,0.05,3.41,0.895
2017-09-04,0.049,3.36,0.875
2017-09-05,0.049,3.38,0.8925
2017-09-06,0.049,3.36,0.8925
2017-09-07,0.048,3.36,0.9
