Date,medtecs,sti,topglove
2019-05-28,0.022,3.29,1.66
2019-05-29,0.023,3.29,1.66
2019-05-30,0.025,3.26,1.65
2019-05-31,0.025,3.24,1.55
2019-06-03,0.025,3.26,1.63
2019-06-04,0.025,3.27,1.56
2019-06-06,0.025,3.28,1.56
2019-06-07,0.025,3.3,1.65
2019-06-10,0.024,3.31,1.65
2019-06-11,0.024,3.34,1.68
2019-06-12,0.024,3.33,1.64
2019-06-13,0.024,3.34,1.64
2019-06-14,0.024,3.35,1.61
2019-06-17,0.023,3.36,1.62
2019-06-18,0.023,3.38,1.56
2019-06-19,0.022,3.43,1.56
2019-06-20,0.022,3.46,1.66
2019-06-21,0.023,3.44,1.66
2019-06-24,0.023,3.45,1.65
2019-06-25,0.023,3.43,1.65
2019-06-26,0.025,3.44,1.62
2019-06-27,0.027,3.47,1.61
2019-06-28,0.027,3.46,1.6
2019-07-01,0.027,3.45,1.61
2019-07-02,0.027,3.44,1.61
2019-07-03,0.027,3.45,1.61
2019-07-04,0.03,3.45,1.61
2019-07-05,0.03,3.44,1.61
2019-07-08,0.029,3.4,1.6
2019-07-09,0.029,3.41,1.6
2019-07-10,0.029,3.42,1.58
2019-07-11,0.029,3.43,1.58
2019-07-12,0.029,3.43,1.58
2019-07-15,0.029,3.43,1.57
2019-07-16,0.029,3.43,1.56
2019-07-17,0.029,3.43,1.56
2019-07-18,0.031,3.43,1.56
2019-07-19,0.031,3.45,1.58
2019-07-22,0.031,3.42,1.58
2019-07-23,0.032,3.44,1.51
2019-07-24,0.032,3.46,1.51
2019-07-25,0.028,3.46,1.52
2019-07-26,0.028,3.43,1.52
2019-07-29,0.028,3.43,1.53
2019-07-30,0.028,3.42,1.53
2019-07-31,0.028,3.39,1.54
2019-08-01,0.028,3.38,1.52
2019-08-02,0.029,3.34,1.49
2019-08-05,0.03,3.29,1.49
2019-08-06,0.025,3.26,1.51
2019-08-07,0.028,3.29,1.51
2019-08-08,0.028,3.26,1.5
2019-08-13,0.03,3.23,1.5
2019-08-14,0.03,3.24,1.5
2019-08-15,0.03,3.22,1.5
2019-08-16,0.03,3.22,1.5
2019-08-19,0.03,3.24,1.5
2019-08-20,0.028,3.24,1.5
2019-08-21,0.029,3.24,1.5
2019-08-23,0.03,3.22,1.51
2019-08-26,0.028,3.19,1.52
2019-08-27,0.028,3.18,1.52
2019-08-28,0.027,3.17,1.51
2019-08-29,0.027,3.19,1.51
2019-08-30,0.027,3.22,1.56
2019-09-02,0.027,3.2,1.56
2019-09-03,0.027,3.19,1.56
2019-09-04,0.027,3.25,1.56
2019-09-05,0.027,3.27,1.56
2019-09-06,0.027,3.27,1.56
2019-09-09,0.027,3.26,1.54
2019-09-10,0.028,3.28,1.55
2019-09-11,0.027,3.32,1.55
2019-09-12,0.028,3.32,1.57
2019-09-13,0.028,3.34,1.57
2019-09-16,0.033,3.32,1.57
2019-09-17,0.032,3.3,1.58
2019-09-18,0.039,3.29,1.6
2019-09-19,0.036,3.28,1.58
2019-09-23,0.035,3.26,1.57
2019-09-24,0.034,3.26,1.57
2019-09-25,0.031,3.24,1.58
2019-09-26,0.032,3.25,1.55
2019-09-27,0.03,3.24,1.54
2019-09-30,0.032,3.23,1.49
2019-10-02,0.027,3.22,1.49
2019-10-03,0.029,3.2,1.5
2019-10-07,0.029,3.22,1.5
2019-10-08,0.03,3.23,1.49
2019-10-09,0.033,3.2,1.46
2019-10-10,0.036,3.19,1.43
2019-10-11,0.037,3.24,1.42
2019-10-14,0.033,3.23,1.42
2019-10-15,0.033,3.23,1.41
2019-10-16,0.034,3.26,1.41
2019-10-17,0.031,3.24,1.43
2019-10-18,0.031,3.23,1.44
2019-10-21,0.03,3.27,1.44
2019-10-22,0.032,3.28,1.43
2019-10-23,0.031,3.27,1.44
2019-10-24,0.033,3.3,1.44
2019-10-25,0.033,3.31,1.44
2019-10-29,0.032,3.31,1.45
2019-10-30,0.034,3.32,1.44
2019-10-31,0.035,3.36,1.43
2019-11-01,0.033,3.35,1.44
2019-11-04,0.034,3.36,1.5
2019-11-05,0.035,3.37,1.5
2019-11-06,0.034,3.38,1.46
2019-11-07,0.035,3.4,1.46
2019-11-08,0.036,3.39,1.45
2019-11-12,0.045,3.39,1.44
2019-11-13,0.042,3.36,1.46
2019-11-14,0.041,3.36,1.47
2019-11-18,0.036,3.38,1.47
2019-11-19,0.039,3.37,1.51
2019-11-20,0.037,3.36,1.49
2019-11-21,0.037,3.32,1.47
2019-11-22,0.037,3.37,1.49
2019-11-25,0.037,3.35,1.48
2019-11-26,0.035,3.35,1.5
2019-11-27,0.034,3.35,1.5
2019-11-28,0.034,3.33,1.5
2019-11-29,0.035,3.32,1.47
2019-12-02,0.035,3.31,1.47
2019-12-03,0.034,3.28,1.46
2019-12-04,0.034,3.27,1.46
2019-12-05,0.035,3.29,1.46
2019-12-06,0.035,3.32,1.46
2019-12-09,0.035,3.31,1.42
2019-12-10,0.033,3.28,1.44
2019-12-11,0.034,3.31,1.44
2019-12-12,0.036,3.33,1.48
2019-12-13,0.036,3.34,1.46
2019-12-16,0.036,3.33,1.46
2019-12-17,0.039,3.32,1.48
2019-12-18,0.041,3.35,1.55
2019-12-19,0.04,3.34,1.57
2019-12-20,0.037,3.35,1.57
2019-12-23,0.037,3.35,1.55
2019-12-24,0.037,3.36,1.56
2019-12-25,0.037,3.36,1.56
2019-12-26,0.038,3.36,1.54
2019-12-27,0.037,3.36,1.54
2019-12-30,0.039,3.36,1.54
2020-01-02,0.04,3.32,1.54
2020-01-03,0.04,3.32,1.54
2020-01-06,0.051,3.29,1.53
2020-01-07,0.048,3.33,1.53
2020-01-08,0.045,3.31,1.52
2020-01-09,0.049,3.33,1.52
2020-01-10,0.047,3.34,1.52
2020-01-13,0.053,3.33,1.53
2020-01-14,0.05,3.35,1.52
2020-01-15,0.05,3.33,1.56
2020-01-16,0.05,3.36,1.54
2020-01-17,0.05,3.36,1.57
2020-01-20,0.052,3.36,1.59
2020-01-21,0.092,3.32,1.71
2020-01-22,0.098,3.34,1.84
2020-01-23,0.105,3.3,1.8
2020-01-24,0.104,3.3,1.9
